shared_buffers,work_mem,relid,relname,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_hot_upd,n_tup_del,n_live_tup,n_dead_tup
128MB,50MB,16821,sbtest8,386069,850158,117326,16073,10157,2543,114921,9661
128MB,50MB,16918,sbtest14,387077,859190,117270,15685,9828,2580,114803,10555
128MB,50MB,16847,sbtest9,387083,869094,117314,16197,10272,2556,114853,10113
128MB,50MB,16809,sbtest7,383858,818444,117269,15763,9993,2458,114908,9688
128MB,50MB,16797,sbtest6,387077,853466,116942,15821,10099,2561,114474,9797
128MB,50MB,16930,sbtest15,386941,861174,117193,15942,10029,2575,114740,10305
128MB,50MB,17014,sbtest21,385982,852192,117396,15826,9884,2532,114952,9152
128MB,50MB,16785,sbtest5,389307,850388,117896,15708,9969,2560,115443,9896
128MB,50MB,16986,sbtest19,390767,865712,117800,15683,9911,2644,115297,10116
128MB,50MB,16749,sbtest2,389738,831644,117707,15304,9724,2533,115284,9586
128MB,50MB,16883,sbtest12,389914,871543,117869,15934,10102,2612,115364,10218
128MB,50MB,16859,sbtest10,391557,888031,118025,16200,10149,2610,115520,10329
128MB,50MB,17030,sbtest22,391779,901427,117862,16136,10234,2619,115339,9950
128MB,50MB,16998,sbtest20,389981,843499,117761,15917,9992,2496,115392,10015
128MB,50MB,16737,sbtest1,41372572,52579249,117660,16107,10155,2626,115133,10028
128MB,50MB,16773,sbtest4,389036,815946,117830,15238,9590,2518,115421,9625
128MB,50MB,17054,sbtest24,390311,885959,117706,16142,10237,2616,115177,9852
128MB,50MB,16895,sbtest13,391204,883341,117970,15942,10023,2678,115408,10731
128MB,50MB,16974,sbtest18,390454,890799,117982,16161,10214,2611,115466,9953
128MB,50MB,16942,sbtest16,390754,876821,118008,15896,9906,2576,115557,10234
128MB,50MB,16761,sbtest3,390645,877884,117693,15966,10150,2537,115260,10008
128MB,50MB,16962,sbtest17,390111,865974,117732,15302,9621,2661,115193,9890
128MB,50MB,17042,sbtest23,388430,827512,117460,15140,9613,2528,115014,9632
128MB,50MB,16871,sbtest11,392185,905644,118065,16203,10238,2676,115473,10083
128MB,50MB,16821,sbtest8,390352,870889,117935,16156,10199,2589,115484,9758
128MB,50MB,16918,sbtest14,391768,886056,117904,15795,9881,2638,115379,10697
128MB,50MB,16847,sbtest9,391370,892540,117915,16296,10316,2602,115408,10217
128MB,50MB,16809,sbtest7,388196,838237,117881,15842,10031,2493,115485,9762
128MB,50MB,16797,sbtest6,391406,875916,117595,15915,10144,2609,115079,9845
128MB,50MB,16930,sbtest15,391484,888820,117845,16060,10083,2635,115332,10444
128MB,50MB,17014,sbtest21,390728,883490,118046,15970,9952,2599,115535,9301
128MB,50MB,16785,sbtest5,394515,870110,118499,15785,10004,2597,116009,9973
128MB,50MB,16986,sbtest19,396005,885747,118473,15765,9950,2680,115934,10211
128MB,50MB,16749,sbtest2,394984,851990,118344,15382,9764,2570,115884,9668
128MB,50MB,16883,sbtest12,394996,889838,118559,16001,10133,2648,116018,10254
128MB,50MB,16859,sbtest10,396771,909508,118706,16285,10191,2649,116162,10422
128MB,50MB,17030,sbtest22,396931,921778,118521,16213,10272,2659,115958,10034
128MB,50MB,16998,sbtest20,395106,861113,118465,15985,10024,2529,116063,10085
128MB,50MB,16737,sbtest1,41377841,52601128,118342,16194,10195,2668,115773,10110
128MB,50MB,16773,sbtest4,394005,832661,118478,15303,9617,2550,116037,9684
128MB,50MB,17054,sbtest24,395605,907455,118382,16223,10278,2659,115810,9933
128MB,50MB,16895,sbtest13,396455,904457,118612,16027,10062,2720,116008,10814
128MB,50MB,16974,sbtest18,395486,908018,118598,16223,10247,2642,116051,10006
128MB,50MB,16942,sbtest16,395958,897892,118654,15978,9945,2616,116163,10313
128MB,50MB,16761,sbtest3,395846,898691,118353,16048,10191,2577,115880,10105
128MB,50MB,16962,sbtest17,395428,887196,118402,15381,9658,2705,115819,9999
128MB,50MB,17042,sbtest23,393698,848567,118094,15225,9651,2570,115606,9723
128MB,50MB,16871,sbtest11,397413,927641,118747,16287,10278,2720,116111,10142
128MB,50MB,16821,sbtest8,395494,891188,118616,16233,10233,2630,116124,9848
128MB,50MB,16918,sbtest14,396988,906511,118563,15871,9916,2680,115996,10776
128MB,50MB,16847,sbtest9,396582,913753,118577,16382,10354,2642,116030,10289
128MB,50MB,16809,sbtest7,393486,859687,118529,15924,10068,2537,116089,9846
128MB,50MB,16797,sbtest6,396667,894942,118213,15987,10180,2646,115659,9936
128MB,50MB,16930,sbtest15,396524,905898,118507,16124,10114,2667,115962,10517
128MB,50MB,17014,sbtest21,395816,903011,118695,16048,9989,2637,116146,9382
